missing_value,normalization,outlier,model,fairness
1,1,1,1,0.05397751299149342
1,1,2,1,0.08600011263505376
1,1,3,1,0.0511814755258589
1,1,4,1,0.047685076686717176
1,1,5,1,0.04845536645229291
1,1,6,1,0.030943974573833237
1,1,7,1,0.02251034937136965
1,2,1,1,0.1678855668834461
1,2,2,1,0.18307253986270075
1,2,3,1,0.1743097859094052
1,2,4,1,0.17661879432112376
1,2,5,1,0.17397355646679077
1,2,6,1,0.1731997083044433
1,2,7,1,0.17230547210274952
1,3,1,1,0.1305993957378482
1,3,2,1,0.17767291646811129
1,3,3,1,0.12812951869448463
1,3,4,1,0.14573623957974385
1,3,5,1,0.1306892323004536
1,3,6,1,0.12894166776244334
1,3,7,1,0.17339946945150775
1,4,1,1,0.1713123071032796
1,4,2,1,0.1825990394251569
1,4,3,1,0.16935285731895344
1,4,4,1,0.17898155074651312
1,4,5,1,0.18326547671750956
1,4,6,1,0.183915207778602
1,4,7,1,0.1847333317986322
1,5,1,1,0.16977747300312443
1,5,2,1,0.18295448966212371
1,5,3,1,0.16971372061566162
1,5,4,1,0.17814729041222788
1,5,5,1,0.185338266128019
1,5,6,1,0.18591822766745464
1,5,7,1,0.18539536333349
2,1,1,1,0.05457566798240117
2,1,2,1,0.08970918542213431
2,1,3,1,0.055863753533224356
2,1,4,1,0.051715169250334675
2,1,5,1,0.04899995464368824
2,1,6,1,0.03857679932420884
2,1,7,1,0.03227472309825251
2,2,1,1,0.16928565095225137
2,2,2,1,0.19256427862697603
2,2,3,1,0.17212533138825628
2,2,4,1,0.17491098200556215
2,2,5,1,0.17525167740831374
2,2,6,1,0.17387199741167303
2,2,7,1,0.1714930618961112
2,3,1,1,0.1480106522516793
2,3,2,1,0.18143328773227008
2,3,3,1,0.1431900325078565
2,3,4,1,0.15217135292798287
2,3,5,1,0.1725921326746657
2,3,6,1,0.14786068432780494
2,3,7,1,0.16823052162842556
2,4,1,1,0.1712324997630455
2,4,2,1,0.18908246975857224
2,4,3,1,0.17185160507325853
2,4,4,1,0.18165259191724809
2,4,5,1,0.18412486854025012
2,4,6,1,0.18465605401956411
2,4,7,1,0.1839050015450492
2,5,1,1,0.17132458079435303
2,5,2,1,0.1897084083304694
2,5,3,1,0.1728142227867735
2,5,4,1,0.1803897878815631
2,5,5,1,0.18577358736929153
2,5,6,1,0.18626047386551492
2,5,7,1,0.18485072889013088
3,1,1,1,0.05457566798240117
3,1,2,1,0.08970918542213431
3,1,3,1,0.055863753533224356
3,1,4,1,0.051715169250334675
3,1,5,1,0.04899995464368824
3,1,6,1,0.03857679932420884
3,1,7,1,0.03227472309825251
3,2,1,1,0.16928565095225137
3,2,2,1,0.19256427862697603
3,2,3,1,0.17212533138825628
3,2,4,1,0.17491098200556215
3,2,5,1,0.17525167740831374
3,2,6,1,0.17387199741167303
3,2,7,1,0.1714930618961112
3,3,1,1,0.1480106522516793
3,3,2,1,0.18143328773227008
3,3,3,1,0.1431900325078565
3,3,4,1,0.15217135292798287
3,3,5,1,0.1725921326746657
3,3,6,1,0.14786068432780494
3,3,7,1,0.16823052162842556
3,4,1,1,0.1712324997630455
3,4,2,1,0.18908246975857224
3,4,3,1,0.17185160507325853
3,4,4,1,0.18165259191724809
3,4,5,1,0.18412486854025012
3,4,6,1,0.18465605401956411
3,4,7,1,0.1839050015450492
3,5,1,1,0.17132458079435303
3,5,2,1,0.1897084083304694
3,5,3,1,0.1728142227867735
3,5,4,1,0.1803897878815631
3,5,5,1,0.18577358736929153
3,5,6,1,0.18626047386551492
3,5,7,1,0.18485072889013088
4,1,1,1,0.0651735475198252
4,1,2,1,0.09981547281277958
4,1,3,1,0.0546620199797692
4,1,4,1,0.05191520925833627
4,1,5,1,0.04880528849613129
4,1,6,1,0.03269647250488673
4,1,7,1,0.024730990142754844
4,2,1,1,0.1700207704639518
4,2,2,1,0.18922225941384
4,2,3,1,0.17557812388589653
4,2,4,1,0.17847899781893645
4,2,5,1,0.1779974888753485
4,2,6,1,0.17518229831450938
4,2,7,1,0.17318907208738227
4,3,1,1,0.17038114514763028
4,3,2,1,0.18021151091804583
4,3,3,1,0.1780254377995677
4,3,4,1,0.15124177773491823
4,3,5,1,0.14893585788092306
4,3,6,1,0.14316301698275388
4,3,7,1,0.16870824255285619
4,4,1,1,0.17196670203148998
4,4,2,1,0.18598729820517038
4,4,3,1,0.1722057049449446
4,4,4,1,0.17930127328212142
4,4,5,1,0.18301347267369797
4,4,6,1,0.18743808235499343
4,4,7,1,0.1879492298239496
4,5,1,1,0.1723350261567202
4,5,2,1,0.18778757354139824
4,5,3,1,0.1727947176647545
4,5,4,1,0.17694763312823436
4,5,5,1,0.18527254223299566
4,5,6,1,0.18795094936708862
4,5,7,1,0.18621347071041477
5,1,1,1,0.05457566798240117
5,1,2,1,0.08970918542213431
5,1,3,1,0.055863753533224356
5,1,4,1,0.051715169250334675
5,1,5,1,0.04899995464368824
5,1,6,1,0.03857679932420884
5,1,7,1,0.03227472309825251
5,2,1,1,0.16928565095225137
5,2,2,1,0.19256427862697603
5,2,3,1,0.17212533138825628
5,2,4,1,0.17491098200556215
5,2,5,1,0.17525167740831374
5,2,6,1,0.17387199741167303
5,2,7,1,0.1714930618961112
5,3,1,1,0.1480106522516793
5,3,2,1,0.18143328773227008
5,3,3,1,0.1431900325078565
5,3,4,1,0.15217135292798287
5,3,5,1,0.1725921326746657
5,3,6,1,0.14786068432780494
5,3,7,1,0.16823052162842556
5,4,1,1,0.1712324997630455
5,4,2,1,0.18908246975857224
5,4,3,1,0.17185160507325853
5,4,4,1,0.18165259191724809
5,4,5,1,0.18412486854025012
5,4,6,1,0.18465605401956411
5,4,7,1,0.1839050015450492
5,5,1,1,0.17132458079435303
5,5,2,1,0.1897084083304694
5,5,3,1,0.1728142227867735
5,5,4,1,0.1803897878815631
5,5,5,1,0.18577358736929153
5,5,6,1,0.18626047386551492
5,5,7,1,0.18485072889013088
6,1,1,1,0.05457566798240117
6,1,2,1,0.08970918542213431
6,1,3,1,0.055863753533224356
6,1,4,1,0.051715169250334675
6,1,5,1,0.04899995464368824
6,1,6,1,0.03857679932420884
6,1,7,1,0.03227472309825251
6,2,1,1,0.16928565095225137
6,2,2,1,0.19256427862697603
6,2,3,1,0.17212533138825628
6,2,4,1,0.17491098200556215
6,2,5,1,0.17525167740831374
6,2,6,1,0.17387199741167303
6,2,7,1,0.1714930618961112
6,3,1,1,0.1480106522516793
6,3,2,1,0.18143328773227008
6,3,3,1,0.1431900325078565
6,3,4,1,0.15217135292798287
6,3,5,1,0.1725921326746657
6,3,6,1,0.14786068432780494
6,3,7,1,0.16823052162842556
6,4,1,1,0.1712324997630455
6,4,2,1,0.18908246975857224
6,4,3,1,0.17185160507325853
6,4,4,1,0.18165259191724809
6,4,5,1,0.18412486854025012
6,4,6,1,0.18465605401956411
6,4,7,1,0.1839050015450492
6,5,1,1,0.17132458079435303
6,5,2,1,0.1897084083304694
6,5,3,1,0.1728142227867735
6,5,4,1,0.1803897878815631
6,5,5,1,0.18577358736929153
6,5,6,1,0.18626047386551492
6,5,7,1,0.18485072889013088
7,1,1,1,0.05457566798240117
7,1,2,1,0.08970918542213431
7,1,3,1,0.055863753533224356
7,1,4,1,0.051715169250334675
7,1,5,1,0.04899995464368824
7,1,6,1,0.03857679932420884
7,1,7,1,0.03227472309825251
7,2,1,1,0.16928565095225137
7,2,2,1,0.19256427862697603
7,2,3,1,0.17212533138825628
7,2,4,1,0.17491098200556215
7,2,5,1,0.17525167740831374
7,2,6,1,0.17387199741167303
7,2,7,1,0.1714930618961112
7,3,1,1,0.1480106522516793
7,3,2,1,0.18143328773227008
7,3,3,1,0.1431900325078565
7,3,4,1,0.15217135292798287
7,3,5,1,0.1725921326746657
7,3,6,1,0.14786068432780494
7,3,7,1,0.16823052162842556
7,4,1,1,0.1712324997630455
7,4,2,1,0.18908246975857224
7,4,3,1,0.17185160507325853
7,4,4,1,0.18165259191724809
7,4,5,1,0.18412486854025012
7,4,6,1,0.18465605401956411
7,4,7,1,0.1839050015450492
7,5,1,1,0.17132458079435303
7,5,2,1,0.1897084083304694
7,5,3,1,0.1728142227867735
7,5,4,1,0.1803897878815631
7,5,5,1,0.18577358736929153
7,5,6,1,0.18626047386551492
7,5,7,1,0.18485072889013088
8,1,1,1,0.05457566798240117
8,1,2,1,0.08970918542213431
8,1,3,1,0.055863753533224356
8,1,4,1,0.051715169250334675
8,1,5,1,0.04899995464368824
8,1,6,1,0.03857679932420884
8,1,7,1,0.03227472309825251
8,2,1,1,0.16928565095225137
8,2,2,1,0.19256427862697603
8,2,3,1,0.17212533138825628
8,2,4,1,0.17491098200556215
8,2,5,1,0.17525167740831374
8,2,6,1,0.17387199741167303
8,2,7,1,0.1714930618961112
8,3,1,1,0.1480106522516793
8,3,2,1,0.18143328773227008
8,3,3,1,0.1431900325078565
8,3,4,1,0.15217135292798287
8,3,5,1,0.1725921326746657
8,3,6,1,0.14786068432780494
8,3,7,1,0.16823052162842556
8,4,1,1,0.1712324997630455
8,4,2,1,0.18908246975857224
8,4,3,1,0.17185160507325853
8,4,4,1,0.18165259191724809
8,4,5,1,0.18412486854025012
8,4,6,1,0.18465605401956411
8,4,7,1,0.1839050015450492
8,5,1,1,0.17132458079435303
8,5,2,1,0.1897084083304694
8,5,3,1,0.1728142227867735
8,5,4,1,0.1803897878815631
8,5,5,1,0.18577358736929153
8,5,6,1,0.18626047386551492
8,5,7,1,0.18485072889013088
9,1,1,1,0.05457566798240117
9,1,2,1,0.08970918542213431
9,1,3,1,0.055863753533224356
9,1,4,1,0.051715169250334675
9,1,5,1,0.04899995464368824
9,1,6,1,0.03857679932420884
9,1,7,1,0.03227472309825251
9,2,1,1,0.16928565095225137
9,2,2,1,0.19256427862697603
9,2,3,1,0.17212533138825628
9,2,4,1,0.17491098200556215
9,2,5,1,0.17525167740831374
9,2,6,1,0.17387199741167303
9,2,7,1,0.1714930618961112
9,3,1,1,0.1480106522516793
9,3,2,1,0.18143328773227008
9,3,3,1,0.1431900325078565
9,3,4,1,0.15217135292798287
9,3,5,1,0.1725921326746657
9,3,6,1,0.14786068432780494
9,3,7,1,0.16823052162842556
9,4,1,1,0.1712324997630455
9,4,2,1,0.18908246975857224
9,4,3,1,0.17185160507325853
9,4,4,1,0.18165259191724809
9,4,5,1,0.18412486854025012
9,4,6,1,0.18465605401956411
9,4,7,1,0.1839050015450492
9,5,1,1,0.17132458079435303
9,5,2,1,0.1897084083304694
9,5,3,1,0.1728142227867735
9,5,4,1,0.1803897878815631
9,5,5,1,0.18577358736929153
9,5,6,1,0.18626047386551492
9,5,7,1,0.18485072889013088
